ID,projects,commit url,UTC of buggy commit,UTC of fix commit,start line,end line,defect method,change lines,resource types,root causes,fix approach,patch error?,standard libraries,third-party libraries,is interprocedural,key variable name,key variable location,key variable attribute
150,apache/iotdb,https://github.com/apache/iotdb/commit/8fb2737aba123a48b223f4a925633bab06a8962c,2022-04-20T14:47:33Z,2022-04-26T13:03:21Z,60,70,server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/AbstractFragInsStateTracker.java:fetchState,"server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/AbstractFragInsStateTracker.java@@ -42,31 +44,52 @@",socket,noCloseRPath,CloseInFinally,no,,org.apache.iotdb.mpp.rpc.thrift..InternalService.Iface,no,client,server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/AbstractFragInsStateTracker.java:62,local variable
151,apache/iotdb,https://github.com/apache/iotdb/commit/8fb2737aba123a48b223f4a925633bab06a8962c,2022-04-20T14:47:33Z,2022-04-26T13:03:21Z,48,74,server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/SimpleFragInstanceDispatcher.java:dispatch,"server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/SimpleFragInstanceDispatcher.java@@ -50,21 +59,40 @@",socket,noCloseRPath,CloseInFinally,no,,org.apache.iotdb.mpp.rpc.thrift..InternalService.Iface,no,client,server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/SimpleFragInstanceDispatcher.java:54,local variable
152,apache/iotdb,https://github.com/apache/iotdb/commit/8fb2737aba123a48b223f4a925633bab06a8962c,2022-04-20T14:47:33Z,2022-04-26T13:03:21Z,52,72,server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/SimpleQueryTerminator.java:terminate,"server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/SimpleQueryTerminator.java@@ -54,18 +63,33 @@",socket,noCloseRPath,CloseInFinally,no,,org.apache.iotdb.mpp.rpc.thrift..InternalService.Iface,no,client,server/src/main/java/org/apache/iotdb/db/mpp/execution/scheduler/SimpleQueryTerminator.java:60,local variable
153,apache/iotdb,https://github.com/apache/iotdb/commit/7c88b7d78ed66bb46613e48969ac0cccfc795d1d,2019-03-26T09:25:27Z,2019-04-27T07:41:38Z,113,119,tsfile/src/main/java/org/apache/iotdb/tsfile/read/TsFileSequenceReader.java:TsFileSequenceReader,"tsfile/src/main/java/org/apache/iotdb/tsfile/read/TsFileSequenceReader.java@@ -113,8 +113,13 @@",file,noCloseRPath,CloseOnExcep,no,,org.apache.iotdb.tsfile.read.reader.TsFileInput,no,tsFileInput,tsfile/src/main/java/org/apache/iotdb/tsfile/read/TsFileSequenceReader.java:115,instance variable
154,apache/iotdb,https://github.com/apache/iotdb/commit/e8e1b7bb73ce62a2eb162704a6c83b22126564a7,2020-01-03T06:41:16Z,2020-01-10T01:29:32Z,263,268,server/src/main/java/org/apache/iotdb/db/engine/StorageEngine.java:syncCloseAllProcessor,server/src/main/java/org/apache/iotdb/db/engine/StorageEngine.java,socket,noCloseRPath,CloseOnRPath,no,,org.apache.iotdb.db.engine.storagegroup.StorageGroupProcessor,no,processor,server/src/main/java/org/apache/iotdb/db/engine/StorageEngine.java:265,local variable
155,apache/lucene,https://github.com/apache/lucene/commit/64093d6df10a426551a0aeb4c157f9e05e5bf7bf,2016-05-11T19:19:01Z,2017-06-19T05:35:57Z,175,233,solr/core/src/java/org/apache/solr/search/CursorMark.java:parseSerializedTotem,"solr/core/src/java/org/apache/solr/search/CursorMark.java:@@ -183,9 +183,8 @@@@ -196,8 +195,6 @@",file,noCloseEPath,try-with,no,,org.apache.solr.common.util.JavaBinCodec,no,new JavaBinCodec(),solr/core/src/java/org/apache/solr/search/CursorMark.java:188,anonymous variable
156,apache/lucene,https://github.com/apache/lucene/commit/cbb5b6e331fa986bf539a4812fb1e65e85bec941,2023-11-02T08:34:36Z,2023-11-02T10:53:48Z,44,61,buildSrc/src/main/java/org/apache/lucene/gradle/datasets/ExtractReuters.java:extract,"buildSrc/src/main/java/org/apache/lucene/gradle/datasets/ExtractReuters.java@@ -44,9 +45,10 @@",file,noCloseRPath,try-with,no,java.util.stream.Stream,,no,Files.list(outputDir),buildSrc/src/main/java/org/apache/lucene/gradle/datasets/ExtractReuters.java:48,anonymous variable
157,apache/lucene,https://github.com/apache/lucene/commit/64a795b6e3dd82b9c579ee1652db64da7df56c6b,2013-09-19T20:55:34Z,2013-10-07T06:24:25Z,309,338,lucene/analysis/common/src/java/org/apache/lucene/analysis/synonym/SynonymMap.java:analyze,"lucene/analysis/common/src/java/org/apache/lucene/analysis/synonym/SynonymMap.java:@@ -307,30 +307,30 @@ ",file,noCloseEPath,try-with,no,,org.apache.lucene.analysis.TokenStream,no,ts,lucene/analysis/common/src/java/org/apache/lucene/analysis/synonym/SynonymMap.java:310,local variable
158,apache/lucene,https://github.com/apache/lucene/commit/4dd785e5efa7c45aeead2469a8a537e4c075e8f9,2021-02-23T17:16:56Z,2017-04-04T00:39:37Z,78,96,solr/core/src/java/org/apache/solr/handler/AnalyzeEvaluator.java:evaluate,"solr/core/src/java/org/apache/solr/handler/AnalyzeEvaluator.java@@ -81,17 +81,16 @@",file,noCloseEPath,try-with,no,,org.apache.lucene.analysis.TokenStream,no,tokenStream,solr/core/src/java/org/apache/solr/handler/AnalyzeEvaluator.java:84,local variable
159,apache/lucene,https://github.com/apache/lucene/commit/30f941068af5d7a0cf6d19b41cd3be0e966072b8,2015-12-02T09:22:22Z,2015-12-02T10:23:32Z,402,414,solr/core/src/java/org/apache/solr/handler/CdcrRequestHandler.java:handleShardCheckpointAction,"solr/core/src/java/org/apache/solr/handler/CdcrRequestHandler.java@@ -406,11 +410,11 @@ ",file,noCloseEPath,try-with,no,,org.apache.solr.update.UpdateLog.RecentUpdates,no,recentUpdates,solr/core/src/java/org/apache/solr/handler/CdcrRequestHandler.java:409,local variable
160,apache/lucene,https://github.com/apache/lucene/commit/386d11c5633643b35c9be10b7c138b8497ca62cc,2014-05-19T23:04:55Z,2014-06-10T12:37:41Z,235,261,solr/solrj/src/java/org/apache/solr/client/solrj/impl/CloudSolrServer.java:connect,"solr/solrj/src/java/org/apache/solr/client/solrj/impl/CloudSolrServer.java@@ -236,24 +236,33 @@",file,noCloseEPath,CloseOnExcep,no,,org.apache.solr.common.cloud.ZkStateReader,no,zk,solr/solrj/src/java/org/apache/solr/client/solrj/impl/CloudSolrServer.java,local variable
161,apache/lucene,https://github.com/apache/lucene/commit/b74b88a823686b41ed6a2b263e6ff03481aff559,2014-04-22T21:23:31Z,2014-04-23T01:01:45Z,719,795,solr/core/src/java/org/apache/solr/update/DirectUpdateHandler2.java:closeWriter,"solr/core/src/java/org/apache/solr/update/DirectUpdateHandler2.java@@ -786,7 +786,13 @@",file,noCloseEPath,CloseInFinally,no,,org.apache.lucene.index.IndexWriter,no,writer,solr/core/src/java/org/apache/solr/update/DirectUpdateHandler2.java,parameter
162,apache/lucene,https://github.com/apache/lucene/commit/1996f7234ab1e81dd1d1357ed863d9dfce2c5c53,2011-04-19T07:52:55Z,2011-05-25T18:18:07Z,40,102,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java:flush,"lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java@@ -69,36 +70,38 @@",file,noCloseEPath,CloseInFinally,no,,org.apache.lucene.index.codecs.FieldsConsumer,no,consumer,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java:58,local variable
163,apache/lucene,https://github.com/apache/lucene/commit/978908934365e4b6016ae475c9e1ef3926ea1c4f,2009-06-18T19:58:59Z,2009-07-05T14:01:14Z,45,92,contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/FileBasedQueryMaker.java:prepareQueries,"contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/FileBasedQueryMaker.java@@ -65,27 +65,32 @@",file,noCloseRPath,CloseInFinally,no,java.io.Reader,,no,reader,contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/FileBasedQueryMaker.java:59,local variable
164,apache/lucene,https://github.com/apache/lucene/commit/a31c7a692f6a6d86cef21e9cf735f94e1329b78d,2021-02-23T17:16:56Z,2009-04-15T01:28:07Z,117,147,contrib/velocity/src/main/java/org/apache/solr/request/VelocityResponseWriter.java:getEngine,"contrib/velocity/src/main/java/org/apache/solr/request/VelocityResponseWriter.java@@ -132,11 +132,16 @@",file,noCloseEPath,CloseInFinally,no,java.io.InputStream,,no,is,contrib/velocity/src/main/java/org/apache/solr/request/VelocityResponseWriter.java:135,local variable
165,apache/lucene,https://github.com/apache/lucene/commit/09b3a56ae2ecc68b56a0142e48e12247ba160dbb,2008-02-11T18:56:09Z,2008-03-28T19:10:58Z,634,641,src/java/org/apache/lucene/store/FSDirectory.java:close,"src/java/org/apache/lucene/store/FSDirectory.java@@ -634,9 +634,21 @@",file,noCloseEPath,CloseInFinally,no,java.io.RandomAccessFile,,no,file,src/java/org/apache/lucene/store/FSDirectory.java:626,instance variable
166,apache/lucene,https://github.com/apache/lucene/commit/439ba586fc33f3875dcd4fc6608fc1c1c7e565c5,2007-05-29T15:14:07Z,2007-11-10T17:51:00Z,601,608,src/java/org/apache/lucene/store/FSDirectory.java:close,"src/java/org/apache/lucene/store/FSDirectory.java@@ -601,9 +647,14 @@ ",file,noCloseEPath,CloseInFinally,no,javax.management.Descriptor,,no,file,src/java/org/apache/lucene/store/FSDirectory.java:536,instance variable
167,apache/lucene,https://github.com/apache/lucene/commit/1d1e44681e4c48b1f946d7a842152a35a78bf81a,2007-02-21T20:01:36Z,2007-03-06T21:40:55Z,1268,1346,src/java/org/apache/lucene/index/IndexWriter.java:addIndexes,"src/java/org/apache/lucene/index/IndexWriter.java@@ -1274,50 +1274,57 @@",file,noCloseEPath,CloseInFinally,no,,org.apache.lucene.index.IndexReader,no,sReader,src/java/org/apache/lucene/index/IndexWriter.java:1279,local variable
168,apache/lucene,https://github.com/apache/lucene/commit/b8210dee7aa63e2a888e392f11109c7e65df0fc5,2021-08-18T12:13:59Z,2021-08-18T19:43:33Z,53,158,lucene/demo/src/java/org/apache/lucene/demo/SearchFiles.java:main,"lucene/demo/src/java/org/apache/lucene/demo/SearchFiles.java@@ -154,6 +154,9 @@",file,noCloseRPath,CloseOnRPath,yes,,org.apache.lucene.demo.knn.KnnVectorDict,no,vectorDict,lucene/demo/src/java/org/apache/lucene/demo/SearchFiles.java:111,local variable
169,apache/lucene,https://github.com/apache/lucene/commit/14d7d11d59c3e00e26fc28e3c3f82b6d4dd8a092,2012-12-11T14:31:01Z,2013-06-13T06:47:47Z,129,196,solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/JdbcDataSource.java:call,"solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/JdbcDataSource.java@@ -132,66 +134,90 @@",socket,noCloseEPath,CloseOnExcep,no,java.sql.Connection,,no,c,solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/JdbcDataSource.java:137,local variable
170,apache/lucene,https://github.com/apache/lucene/commit/d4b66af3b36d417b5a18bf7c405721970c56e4a5,2012-08-13T21:22:08Z,2012-08-14T01:31:27Z,118,156,solr/solrj/src/java/org/apache/solr/common/cloud/SolrZkClient.java:SolrZkClien,"solr/solrj/src/java/org/apache/solr/common/cloud/SolrZkClient.java:@@ -116,42 +115,46 @@",socket,noCloseEPath,CloseOnExcep,no,,org.apache.solr.common.cloud.SolrZkClient,no,connManager,solr/solrj/src/java/org/apache/solr/common/cloud/SolrZkClient.java:121,instance variable
171,apache/lucene,https://github.com/apache/lucene/commit/7add2f7c62478c74bcfd51bf901db5731eea01bd,2012-07-11T21:45:43Z,2012-08-03T22:34:08Z,654,659,solr/solrj/src/java/org/apache/solr/common/cloud/SolrZkClient.java:close,"solr/solrj/src/java/org/apache/solr/common/cloud/SolrZkClient.java@@ -654,7 +654,11 @@",socket,notProClose,AoRClose,no,,org.apache.solr.common.cloud.ConnectionManager,no,connManager,solr/solrj/src/java/org/apache/solr/common/cloud/SolrZkClient.java:121,instance variable
172,apache/lucene,https://github.com/apache/lucene/commit/85f5a9c7401c33e39f17f83d95dbe9737157bdd9,2008-09-15T15:42:11Z,2009-06-11T01:13:51Z,59,66,contrib/ant/src/java/org/apache/lucene/ant/HtmlDocument.java:HtmlDocument,"contrib/ant/src/java/org/apache/lucene/ant/HtmlDocument.java@@ -60,8 +60,13 @@",file,noCloseRPath,CloseInFinally,no,java.io.InputStream,,no,new FileInputStream(file),contrib/ant/src/java/org/apache/lucene/ant/HtmlDocument.java:64,anonymous variable
173,apache/lucene,https://github.com/apache/lucene/commit/0834cd4e4ed577b3daf60d1cb61ca818c80efca9,2009-11-14T11:14:18Z,2009-12-07T12:17:54Z,72,177,contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/ReadTask.java:doLogic,"contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/ReadTask.java@@ -169,6 +169,7 @@",file,noCloseRPath,CloseOnRPath,yes,,org.apache.lucene.index.IndexReader,no,reader,"contrib/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/ReadTask.java:84,89",local variable
174,apache/lucene,https://github.com/apache/lucene/commit/bf2086c8312a2767388261048b8ff0e96540c3ff,2014-03-19T12:21:01Z,2014-03-21T16:31:40Z,2083,2160,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java:rollbackInternal,"lucene/core/src/java/org/apache/lucene/index/IndexWriter.java@@ -2139,6 +2144,15 @@",file,noCloseRPath,CloseOnRPath,yes,,IndexFileDeleter,yes,deleter,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java:772,instance variable
175,apache/lucene,https://github.com/apache/lucene/commit/029f4fb5a8d6eb9cf3f4692bfb700f93d4b25d0a,2014-04-21T14:47:10Z,2014-04-22T14:07:12Z,178,209,lucene/core/src/java/org/apache/lucene/store/NativeFSLockFactory.java:close,"lucene/core/src/java/org/apache/lucene/store/NativeFSLockFactory.java@@ -171,39 +167,20 @@",file,noCloseCPath,CloseInFinally,no,java.nio.channels.FileChannel,,yes,channel,lucene/core/src/java/org/apache/lucene/store/NativeFSLockFactory.java:149,instance variable
176,apache/lucene,https://github.com/apache/lucene/commit/22d22bf4154bd67a0ae033da766d0aaa54e39a1a,2015-04-15T10:36:34Z,2015-05-18T12:22:28Z,98,104,lucene/test-framework/src/java/org/apache/lucene/mockfile/HandleTrackingFS.java:close,"lucene/test-framework/src/java/org/apache/lucene/mockfile/HandleTrackingFS.java@@ -96,11 +96,14 @@",file,noCloseCPath,CloseInFinally,no,java.nio.file.Path,,yes,path,lucene/test-framework/src/java/org/apache/lucene/mockfile/HandleTrackingFS.java,instance variable
177,apache/lucene,https://github.com/apache/lucene/commit/3d4c18d7482ef85646862a17e0433be0d0ba50cf,2014-09-13T21:46:29Z,2015-06-25T20:00:44Z,85,92,lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/BigramDictionary.java:loadFromInputStream,"lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/BigramDictionary.java@@ -84,23 +88,19 @@",file,noCloseEPath,try-with,no,java.io.ObjectInputStream,,no,input,lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/BigramDictionary.java:87,local variable
178,apache/lucene,https://github.com/apache/lucene/commit/b6c6d5e9ffb2f5d8a8b06ad6269de5d17b312b5f,2016-02-04T13:51:19Z,2016-06-09T13:48:10Z,149,158,lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java:loadFromObjectInputStream,"lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java@@ -148,19 +148,17 @@",file,noCloseEPath,try-with,yes,java.io.ObjectInputStream,,no,input,lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java:151,local variable
179,apache/lucene,https://github.com/apache/lucene/commit/b6c6d5e9ffb2f5d8a8b06ad6269de5d17b312b5f,2016-02-04T13:51:19Z,2016-06-09T13:48:10Z,160,173,lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java:saveToObj,"lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java@@ -148,19 +148,17 @@",file,noCloseEPath,try-with,yes,java.io.ObjectOutputStream,,no,output,lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java:162,local variable
180,apache/lucene,https://github.com/apache/lucene/commit/b6c6d5e9ffb2f5d8a8b06ad6269de5d17b312b5f,2015-07-30T19:25:38Z,2016-06-09T13:48:10Z,91,189,lucene/analysis/stempel/src/java/org/egothor/stemmer/Compile.java:main,"lucene/analysis/stempel/src/java/org/egothor/stemmer/Compile.java:@@ -117,33 +117,32 @@",file,noCloseEPath,try-with,yes,java.io.LineNumberReader,,no,in,lucene/analysis/stempel/src/java/org/egothor/stemmer/Compile.java:127,local variable
181,apache/lucene,https://github.com/apache/lucene/commit/5afc17d4b5690ad363198673b2e83deb4c661961,2023-11-14T22:11:54Z,2023-11-15T07:42:08Z,59,108,lucene/core/src/java/org/apache/lucene/codecs/lucene99/Lucene99ScalarQuantizedVectorsReader.java:Lucene99ScalarQuantizedVectorsReader,"lucene/core/src/java/org/apache/lucene/codecs/lucene99/Lucene99ScalarQuantizedVectorsReader.java@@ -80,19 +81,8 @@",file,noCloseEPath,CloseInFinally,no,,org.apache.lucene.codecs.FlatVectorsReader,no,rawVectorsReader,lucene/core/src/java/org/apache/lucene/codecs/lucene99/Lucene99ScalarQuantizedVectorsReader.java:59,parameter
182,apache/lucene,https://github.com/apache/lucene/commit/b6c6d5e9ffb2f5d8a8b06ad6269de5d17b312b5f,2015-04-20T15:22:06Z,2016-06-09T13:48:10Z,92,123,lucene/analysis/stempel/src/java/org/egothor/stemmer/DiffIt.java:main,"lucene/analysis/stempel/src/java/org/egothor/stemmer/DiffIt.java@@ -98,25 +98,25 @@",file,noCloseRPath,try-with,yes,java.io.LineNumberReader,,no,in,lucene/analysis/stempel/src/java/org/egothor/stemmer/DiffIt.java,local variable
183,apache/lucene,https://github.com/apache/lucene/commit/b6c6d5e9ffb2f5d8a8b06ad6269de5d17b312b5f,2016-02-04T13:51:19Z,2016-06-09T13:48:10Z,36,44,lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CloseTaxonomyReaderTask.java:doLogic,"lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CloseTaxonomyReaderTask.java@@ -34,12 +34,12 @@",file,noCloseEPath,try-with,no,,org.apache.lucene.facet.taxonomy.TaxonomyReader,no,taxoReader,lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CloseTaxonomyReaderTask.java:37,local variable
184,apache/lucene,https://github.com/apache/lucene/commit/b6c6d5e9ffb2f5d8a8b06ad6269de5d17b312b5f,2016-05-25T00:22:47Z,2016-06-09T13:48:10Z,900,922,lucene/facet/src/java/org/apache/lucene/facet/taxonomy/directory/DirectoryTaxonomyWriter.java:getMap,"lucene/facet/src/java/org/apache/lucene/facet/taxonomy/directory/DirectoryTaxonomyWriter.java@@ -902,18 +902,18 @@",file,noCloseEPath,try-with,yes,java.io.DataInputStream,,no,in,lucene/facet/src/java/org/apache/lucene/facet/taxonomy/directory/DirectoryTaxonomyWriter.java,local variable
185,apache/lucene,https://github.com/apache/lucene/commit/b6c6d5e9ffb2f5d8a8b06ad6269de5d17b312b5f,2016-02-06T23:12:24Z,2016-06-09T13:48:10Z,226,279,lucene/suggest/src/java/org/apache/lucene/search/suggest/jaspell/JaspellTernarySearchTrie.java:JaspellTernarySearchTrie,"lucene/suggest/src/java/org/apache/lucene/search/suggest/jaspell/JaspellTernarySearchTrie.java@@ -231,51 +231,54 @@ ",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,in,"lucene/suggest/src/java/org/apache/lucene/search/suggest/jaspell/JaspellTernarySearchTrie.java:231,233",local variable
186,apache/netbeans,https://github.com/apache/netbeans/commit/58dd59082604c71a016e641cd99f701ce513277f,2022-03-25T19:03:59Z,2022-10-17T00:26:14Z,347,418,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,"enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.java:@@ -349,13 +352,13 @@",file,noCloseEPath,try-with,no,java.io.FileOutputStream,,no,fos,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.java:352,local variable
187,apache/netbeans,https://github.com/apache/netbeans/commit/54c620d2638c86bee6b82c1c2ed79477ea58c418,2017-12-25T21:20:57Z,2017-12-25T21:52:21Z,134,547,nbbuild/antsrc/org/netbeans/nbbuild/Arch.java:execute,"nbbuild/antsrc/org/netbeans/nbbuild/Arch.java:@@ -166,12 +166,9 @@@@ -473,39 +470,39",file,noCloseEPath,try-with,no,java.io.OutputStream ,,no,os,nbbuild/antsrc/org/netbeans/nbbuild/Arch.java:476,local variable
188,apache/netbeans,https://github.com/apache/netbeans/commit/7bad9cf385ae85265080d26cd98ba580ecaafef1,2018-08-21T17:27:25Z,2021-10-02T17:34:18Z,81,169,java/java.hints.declarative/src/org/netbeans/modules/java/hints/declarative/debugging/EvaluationSpanTask.java:run,"java/java.hints.declarative/src/org/netbeans/modules/java/hints/declarative/debugging/EvaluationSpanTask.java:@@ -105,20 +105,15 @@",file,noCloseEPath,try-with,no,java.io.OutputStreamWriter,,no,out,java/java.hints.declarative/src/org/netbeans/modules/java/hints/declarative/debugging/EvaluationSpanTask.java:112,local variable
189,apache/phoenix,https://github.com/apache/phoenix/commit/b4697afc3f23ca29ddd87c8708097cd68f91286d,2019-03-30T08:41:44Z,2019-04-20T03:52:12Z,98,144,phoenix-core/src/it/java/org/apache/phoenix/end2end/QueryLoggerIT.java:testDebugLogs,"phoenix-core/src/it/java/org/apache/phoenix/end2end/QueryLoggerIT.java@@ -103,44 +103,47 @@ ",socket,noCloseRPath,try-with,no,java.sql.ResultSet,,no,rs,phoenix-core/src/it/java/org/apache/phoenix/end2end/QueryLoggerIT.java:106,local variable
190,apache/phoenix,https://github.com/apache/phoenix/commit/b4d27456a271054fb7e56e61b53aa78a222b31f4,2017-05-09T00:18:54Z,2019-02-08T06:11:03Z,58,81,phoenix-core/src/main/java/org/apache/phoenix/hbase/index/covered/data/LocalTable.java:getCurrentRowState,"phoenix-core/src/main/java/org/apache/phoenix/hbase/index/covered/data/LocalTable.java@@ -70,14 +70,15 @@",file,noCloseEPath,try-with,no,,org.apache.hadoop.hbase.regionserver.RegionScanner,no,scanner,phoenix-core/src/main/java/org/apache/phoenix/hbase/index/covered/data/LocalTable.java:73,local variable
191,apache/phoenix,https://github.com/apache/phoenix/commit/c2e85f2131669c381e61cc3d6982ab66e4ed63b9,2017-08-08T05:08:36Z,2017-09-01T00:21:36Z,556,587,phoenix-core/src/main/java/org/apache/phoenix/coprocessor/MetaDataEndpointImpl.java:buildTable,"phoenix-core/src/main/java/org/apache/phoenix/coprocessor/MetaDataEndpointImpl.java@@ -556,10 +556,8 @@",file,noCloseEPath,try-with,no,,org.apache.hadoop.hbase.regionserver.RegionScanner,no,scanner,phoenix-core/src/main/java/org/apache/phoenix/coprocessor/MetaDataEndpointImpl.java:603,local variable
192,apache/phoenix,https://github.com/apache/phoenix/commit/ef7851fd06fb031a4b03996c79e01b67f8cca2ae,2017-05-26T16:21:12Z,2017-06-28T20:31:14Z,293,329,phoenix-core/src/main/java/org/apache/phoenix/execute/HashJoinPlan.java:execute,"phoenix-core/src/main/java/org/apache/phoenix/execute/HashJoinPlan.java@@ -293,39 +293,43 @@",socket,noCloseRPath,CloseInFinally,no,,org.apache.phoenix.iterate.ResultIterator,no,iterator,phoenix-core/src/main/java/org/apache/phoenix/execute/HashJoinPlan.java:295,local variable
193,apache/phoenix,https://github.com/apache/phoenix/commit/f256004ab45217eb736fda97b3d67cc77b183735,2017-12-08T03:16:01Z,2019-03-18T22:38:43Z,54,59,phoenix-core/src/main/java/org/apache/phoenix/mapreduce/PhoenixRecordWriter.java:PhoenixRecordWriter,"phoenix-core/src/main/java/org/apache/phoenix/mapreduce/index/IndexTool.java:@@ -518,11 +524,13 @@ phoenix-core/src/main/java/org/apache/phoenix/mapreduce/index/IndexTool.java:@@ -580,13 +590,14 @@ phoenix-core/src/main/java/org/apache/phoenix/mapreduce/index/IndexTool.java:@@ -675,31 +687,64 @@ ",socket,noCloseRPath,CloseOnExcep,no,java.sql.Connection,,no,conn,phoenix-core/src/main/java/org/apache/phoenix/mapreduce/PhoenixRecordWriter.java,local variable
194,apache/phoenix,https://github.com/apache/phoenix/commit/f256004ab45217eb736fda97b3d67cc77b183735,2018-04-20T20:42:30Z,2019-03-18T22:38:43Z,67,71,phoenix-core/src/main/java/org/apache/phoenix/hbase/index/write/RecoveryIndexWriter.java:RecoveryIndexWriter,"phoenix-core/src/main/java/org/apache/phoenix/hbase/index/write/RecoveryIndexWriter.java:@@ -57,17 +56,25 @@ ",socket,noCloseRPath,CloseOnExcep,no,java.sql.Connection,,no,ConnectionFactory.createConnection(env.getConfiguration()),phoenix-core/src/main/java/org/apache/phoenix/hbase/index/write/RecoveryIndexWriter.java:70,anonymous variable
195,apache/phoenix,https://github.com/apache/phoenix/commit/dfb2586aff0541fd596350823512500b86e932e1,2017-03-01T00:34:26Z,2017-05-23T22:56:53Z,858,889,phoenix-core/src/it/java/org/apache/phoenix/monitoring/PhoenixMetricsIT.java:testGetConnectionsThrottledForSameUrl,"phoenix-core/src/it/java/org/apache/phoenix/monitoring/PhoenixMetricsIT.java:testGetConnectionsThrottledForSameUrl:@@ -856,22 +857,23 @@A1003",socket,noCloseRPath,CloseInFinally,no,java.sql.Connection,,no,connections,phoenix-core/src/it/java/org/apache/phoenix/monitoring/PhoenixMetricsIT.java:860,local variable
196,apache/phoenix,https://github.com/apache/phoenix/commit/f256004ab45217eb736fda97b3d67cc77b183735,2019-02-11T23:11:31Z,2019-03-18T22:38:43Z,280,345,phoenix-core/src/main/java/org/apache/phoenix/mapreduce/AbstractBulkLoadTool.java:submitJob,"phoenix-core/src/main/java/org/apache/phoenix/mapreduce/AbstractBulkLoadTool.java:@@ -291,57 +291,64 @@ phoenix-core/src/main/java/org/apache/phoenix/mapreduce/AbstractBulkLoadTool.java:@@ -354,11 +361,14 @@ ",socket,noCloseRPath,try-with,no,,org.apache.hadoop.hbase.client.Connection,no,hbaseConn,phoenix-core/src/main/java/org/apache/phoenix/mapreduce/AbstractBulkLoadTool.java:294,local variable
197,apache/phoenix,https://github.com/apache/phoenix/commit/f256004ab45217eb736fda97b3d67cc77b183735,2018-12-18T01:25:33Z,2019-03-18T22:38:43Z,396,419,phoenix-core/src/main/java/org/apache/phoenix/mapreduce/OrphanViewTool.java:gracefullyDropView,"phoenix-core/src/main/java/org/apache/phoenix/mapreduce/PhoenixRecordWriter.java:@@ -52,10 +52,20 @@ ",socket,noCloseRPath,CloseInFinally,no,,org.apache.hadoop.hbase.client.Connection,no,tenantConnection,phoenix-core/src/main/java/org/apache/phoenix/mapreduce/OrphanViewTool.java:398,local variable
